,,winning_home,winning_away
Manchester United,09,84.21052631578947,63.1578947368421
Liverpool,09,63.1578947368421,68.42105263157895
Chelsea,09,57.89473684210527,73.68421052631578
Arsenal,09,57.89473684210527,47.368421052631575
Everton,09,42.10526315789473,47.368421052631575
Aston Villa,09,36.84210526315789,52.63157894736842
Fulham,09,57.89473684210527,15.789473684210526
Tottenham Hotspur,09,52.63157894736842,21.052631578947366
West Ham United,09,47.368421052631575,26.31578947368421
Manchester City,09,68.42105263157895,10.526315789473683
Wigan Athletic,09,42.10526315789473,21.052631578947366
Stoke City,09,52.63157894736842,10.526315789473683
Bolton Wanderers,09,36.84210526315789,21.052631578947366
Portsmouth,09,42.10526315789473,10.526315789473683
Blackburn Rovers,09,31.57894736842105,21.052631578947366
Sunderland,09,31.57894736842105,15.789473684210526
Hull City,09,15.789473684210526,26.31578947368421
Newcastle United,09,26.31578947368421,10.526315789473683
Middlesbrough,09,26.31578947368421,10.526315789473683
West Bromwich Albion,09,36.84210526315789,5.263157894736842
