,,winning_games_home,losing_games_home
Manchester United,09,84.21052631578947,5.263157894736842
Liverpool,09,63.1578947368421,0.0
Chelsea,09,57.89473684210527,10.526315789473683
Arsenal,09,57.89473684210527,15.789473684210526
Everton,09,42.10526315789473,26.31578947368421
Aston Villa,09,36.84210526315789,15.789473684210526
Fulham,09,57.89473684210527,26.31578947368421
Tottenham Hotspur,09,52.63157894736842,21.052631578947366
West Ham United,09,47.368421052631575,42.10526315789473
Manchester City,09,68.42105263157895,31.57894736842105
Wigan Athletic,09,42.10526315789473,31.57894736842105
Stoke City,09,52.63157894736842,21.052631578947366
Bolton Wanderers,09,36.84210526315789,36.84210526315789
Portsmouth,09,42.10526315789473,42.10526315789473
Blackburn Rovers,09,31.57894736842105,31.57894736842105
Sunderland,09,31.57894736842105,52.63157894736842
Hull City,09,15.789473684210526,57.89473684210527
Newcastle United,09,26.31578947368421,36.84210526315789
Middlesbrough,09,26.31578947368421,26.31578947368421
West Bromwich Albion,09,36.84210526315789,47.368421052631575
